feature,group,success_n,control_n,success_median,success_p25,success_p75,control_median,control_p25,control_p75,median_diff,rank_biserial,boot_ci_lo,boot_ci_hi
ma5_slope_pct,STRUCTURE_FAIL,409,5415,1.4545,0.6405,2.399,1.5122,0.6363,2.3485,-0.0577,0.0033,-0.1882,0.0632
ma5_slope_pct,ALL_CONTROL,409,8095,1.4545,0.6405,2.399,1.4734,0.597,2.2807,-0.0189,-0.0192,-0.1228,0.0991
ma10_slope_pct,FAILED_BREAKOUT,409,950,0.7522,0.1655,1.3173,0.7612,0.2422,1.307,-0.0091,0.0023,-0.0973,0.1259
ma10_slope_pct,NO_LAUNCH,409,1730,0.7522,0.1655,1.3173,0.6289,0.0276,1.1047,0.1233,-0.1152,0.0437,0.2393
ma10_slope_pct,STRUCTURE_FAIL,409,5415,0.7522,0.1655,1.3173,0.7519,0.1489,1.3161,0.0003,-0.0125,-0.082,0.1132
ma10_slope_pct,ALL_CONTROL,409,8095,0.7522,0.1655,1.3173,0.7227,0.1355,1.2724,0.0295,-0.0327,-0.038,0.1299
ma20_slope_pct,FAILED_BREAKOUT,409,950,0.3863,0.0345,0.8174,0.3947,0.0259,0.7933,-0.0084,0.0076,-0.0717,0.0826
ma20_slope_pct,NO_LAUNCH,409,1730,0.3863,0.0345,0.8174,0.3167,-0.0746,0.6846,0.0696,-0.0891,0.0073,0.1402
ma20_slope_pct,STRUCTURE_FAIL,409,5415,0.3863,0.0345,0.8174,0.4149,-0.0132,0.822,-0.0286,0.0041,-0.0837,0.0442
ma20_slope_pct,ALL_CONTROL,409,8095,0.3863,0.0345,0.8174,0.3881,-0.0221,0.7896,-0.0018,-0.0154,-0.0565,0.0685
ma30_slope_pct,FAILED_BREAKOUT,409,950,0.2138,-0.085,0.5869,0.2666,-0.0579,0.6663,-0.0528,0.0696,-0.1037,-0.0053
ma30_slope_pct,NO_LAUNCH,409,1730,0.2138,-0.085,0.5869,0.2218,-0.0893,0.5231,-0.008,-0.0214,-0.0539,0.0361
ma30_slope_pct,STRUCTURE_FAIL,409,5415,0.2138,-0.085,0.5869,0.3033,-0.0565,0.6665,-0.0895,0.0726,-0.1209,-0.0456
ma30_slope_pct,ALL_CONTROL,409,8095,0.2138,-0.085,0.5869,0.2779,-0.064,0.6284,-0.0641,0.0522,-0.0989,-0.0201
ma5_ma10_spread_pct,FAILED_BREAKOUT,409,950,1.8309,0.0756,3.5692,1.6764,-0.1812,3.3273,0.1544,-0.0543,-0.0687,0.6205
ma5_ma10_spread_pct,NO_LAUNCH,409,1730,1.8309,0.0756,3.5692,1.5529,-0.2083,3.0183,0.278,-0.0806,0.0281,0.6512
ma5_ma10_spread_pct,STRUCTURE_FAIL,409,5415,1.8309,0.0756,3.5692,2.0417,-0.0726,3.7578,-0.2108,0.0097,-0.4465,0.1879
ma5_ma10_spread_pct,ALL_CONTROL,409,8095,1.8309,0.0756,3.5692,1.8705,-0.1057,3.5715,-0.0396,-0.0171,-0.241,0.3249
